tick	antikeeper	attacker	builder	claimer	harvester	healer	longbuilder	longharvester	longminer	miner	shortminer	upgrader
17200284	0	0	0.19	0.25	0.36	0	0	0.42	0	0.45	0.25	0.27
17200384	0	0	0.21	0.25	0.44	0	0	0.43	0	0.39	0.25	0.31
17200484	0	0	0.30	0.26	0.35	0	0	0.61	0	0.43	0.31	0.29
17200584	0	0	0.48	0.26	0.42	0	0	0.44	0	0.47	0.24	0.39
17200684	0	0	0.30	0	0.35	0	0	0.54	0	0.51	0.25	0.39
17200784	0	0	0.39	0	0.49	0	0	0.43	0	0.51	0.25	0.30
17200884	0	0	0.36	1.02	0.42	0	0	0.35	0	0.51	0.24	0.28
17200984	0	0	0.34	0.28	0.38	0	0	0.41	0	0.52	0.25	0.37
17201084	0	0	0.32	0.27	0.42	0	0	0.39	0	0.47	0.22	0.29
17201184	0	0	0.33	0.26	0.45	0	0	0.40	0	0.43	0.20	0.30
17201284	0	0	0.43	0.26	0.36	0	0	0.38	0	0.48	0.25	0.28
17201384	0	0	0.28	0.75	0.52	0	0	0.36	0	0.51	0.22	0.27
17201484	0	0	0.26	0.29	0.42	0	0	0.45	0	0.44	0.28	0.25
17201584	0	0	0.23	0.57	0.38	0	0	0.38	0	0.41	0.29	0.25
17201684	0	0	0.24	0.33	0.35	0	0	0.46	0	0.44	0.27	0.29
17201784	0	0	0.26	0.25	0.38	0	0	0.45	0	0.46	0.23	0.32
17201884	0	0	0.32	0.37	0.43	0	0	0.41	0	0.42	0.23	0.35
17201984	0	0	0.40	0.40	0.48	0	0	0.47	0	0.51	0.24	0.39
17202083	0	0	0.35	0.28	0.44	0	0	0.44	0	0.49	0.27	0.31
17202183	0	0	0.37	0.26	0.42	0	0	0.59	0	0.49	0.27	0.33
17202283	0	0	0.51	0.27	0.52	0	0	0.35	0	0.52	0.29	0.31
17202383	0	0	0.46	0.27	0.54	0	0	0	0	0.50	0.35	0.34
17202483	0	0	0.36	0.25	0.43	0	0	0	0	0.46	0.25	0.37
17202583	0	0	0.31	1.05	0.38	0	0	0.51	0	0.49	0.26	0.26
17202683	0	0	0.24	0.46	0.36	0	0	0.46	0	0.50	0.23	0.27
17202783	0	0	0.29	0.26	0.41	0	0	0.42	0	0.51	0.23	0.33
17202883	0	0	0.51	0.27	0.41	0	0	0.38	0	0.43	0.26	0.34
17202983	0	0	0.35	0.33	0.45	0	0	0.47	0	0.42	0.33	0.27
17203083	0	0	0.33	0.58	0.40	0	0	0.55	0	0.41	0.25	0.27
17203183	0	0	0.24	0.44	0.39	0	0	0.38	0	0.47	0.35	0.37
17203283	0	0	0.28	0.43	0.36	0	0	0.43	0	0.44	0.27	0.32
17203383	0	0	0.50	0.43	0.41	0	0	0.41	0	0.46	0.25	0.23
17203483	0	0	0.27	0.76	0.38	0	0	0.39	0	0.50	0.31	0.28
17203583	0	0	0.38	0.26	0.39	0	0	0.70	0	0.48	0.25	0.52
17203683	0	0	0.41	0.24	0.40	0	0	0.37	0	0.47	0.28	0.29
17203783	0	0	0.41	0.23	0.45	0	0	0.39	0	0.49	0.25	0.29
17203883	0	0	0.37	0.25	0.34	0	0	0.48	0	0.43	0.24	0.29
17203983	0	0	0.28	0.25	0.40	0	0	0.56	0	0.50	0.23	0.23
17204083	0	0	0.30	3.70	0.44	0	0	0.38	0	0.52	0.21	0.32
17204184	0	0	0.26	0.92	0.36	0	0	0.41	0	0.44	0.23	0.33
17204284	0	0	0.36	0.28	0.41	0	0	0.41	0	0.45	0.19	0.31
17204384	0	0	0.28	0.39	0.41	0	0	0.46	0	0.44	0.19	0.28
17204484	0	0	0.39	0.26	0.43	0	0	0.55	0	0.47	0.19	0.30
17204584	0	0	0.30	0.25	0.38	0	0	0.54	0	0.41	0.19	0.34
17204684	0	0	0.26	0.26	0.36	0	0	1.01	0	0.45	0.20	0.31
17204784	0	0	0.23	0.27	0.39	0	0	0.41	0	0.47	0.17	0.30
17204884	0	0	0.24	0.25	0.44	0	0	0.83	0	0.48	0.18	0.37
17204984	0	0	0.26	0.53	0.39	0	0	0.85	0	0.46	0.17	0.24
17205084	0	0	0.25	0.50	0.52	0	0	0.66	0	0.42	0.17	0.25
17205184	0	0	0.27	0.35	0.40	0	0	0.62	0	0.51	0.18	0.33
17205284	0	0	0.40	0.26	0.36	0	0	0.52	0	0.48	0.27	0.36
17205384	0	0	0.28	0.27	0.42	0	1.34	0.61	0	0.47	0.20	0.29
17205484	0	0	0.29	0.44	0.51	0	2.04	0.44	0	0.48	0.25	0.34
17205584	0	0	0.26	0.30	0.47	0	1.35	0.46	0	0.45	0.24	0.36
17205684	0	0	0.44	0.40	0.47	0	1.74	0.47	0	0.48	0.27	0.29
17205784	0	0	0.36	0.58	0.42	0	0.75	0.40	0	0.50	0.27	0.35
17205884	0	0	0.39	0.28	0.55	0	1.27	0.50	0	0.52	0.26	0.29
17205984	0	0	0.33	0.40	0.50	0	0.73	0.37	0	0.51	0.25	0.34
17206084	0	0	0.22	0.52	0.52	0	0.79	0.38	0	0.51	0.35	0.30
17206184	0	0	0.21	0.29	0.36	0	0.81	0.41	0	0.51	0.29	0.27
17206284	0	0	0.40	0.27	0.53	0	0.55	0.45	0	0.49	0.26	0.26
17206384	0	0	0.28	0.66	0.59	0	0.59	0.40	0	0.49	0.31	0.30
17206484	0	0	0.36	0.33	0.54	0	0.58	0.45	0	0.43	0.24	0.30
17206584	0	0	0.21	0.30	0.49	0	0.38	0.41	0	0.49	0.29	0.31
17206684	0	0	0.23	0.66	0.50	0	0.41	0.39	0	0.51	0.33	0.27
17206784	0	0	0.28	0.31	0.59	0	0.53	0.36	0	0.45	0.25	0.32
17206884	0	0	0.25	0.28	0.54	0	0.41	0.36	0	0.45	0.36	0.29
17206984	0	0	0.21	0.57	0.48	0	0.42	0.85	0	0.40	0.32	0.28
17207084	0	0	0.45	0.47	0.56	0	0.41	0.74	0	0.41	0.32	0.30
17207184	0	0	0.33	0.29	0.56	0	0.25	0.37	0	0.49	0.26	0.30
17207284	0	0	0.15	0.31	0.46	0	0.33	0.41	0	0.32	0.28	0.31
17207384	0	0	0.28	0.58	0.63	0	0.42	0.34	0	0.49	0.29	0.28
17207484	0	0	0.28	0.31	0.48	0	0.33	0.35	0	0.45	0.25	0.28
17207584	0	0	0.14	0.27	0.43	0	0.40	0.46	0	0.37	0.25	0.30
17207684	0	0	0.37	0.44	0.54	0	0.43	0.37	0	0.46	0.32	0.30
17207783	0	0.48	0.36	0.63	0.49	0	0.34	0.38	0	0.41	0.24	0.30
17207883	0	0.48	0.06	0.32	0.55	0.51	0.41	0.51	0	0.37	0.29	0.29
17208128	0	0.65	0.16	0.58	0.51	0.35	0.48	0.45	0.27	0.39	0.27	0.25
17208228	0	0.40	0.30	0.69	0.50	0.15	0.53	0.42	0.53	0.35	0.34	0.30
17208428	0	0	0.15	0.50	0.38	0	0.48	0.41	0.29	0.38	0.24	0.28
17208528	0	0	0.19	0.65	0.49	0	0.49	0.50	0.51	0.42	0.24	0.26
17208629	0	0	0.31	0.48	0.51	0	0.51	0.54	0.52	0.50	0.40	0.29
17208729	0	0	0.23	0.46	0.51	0	0.43	0.56	0.41	0.51	0.24	0.33
17208829	0	0	0.23	0.56	0.50	0	0.53	0.40	0.51	0.50	0.37	0.40
17208930	0	0	0.24	0.41	0.53	0	0.41	0.58	0.52	0.47	0.28	0.27
17209030	0	0	0.35	0.54	0.61	0	0.38	0.47	0.52	0.46	0.23	0.28
17209130	0	0	0.25	0.43	0.52	0	0.41	0.41	0.52	0.49	0.20	0.30
17209465	0	0	0.22	0.71	0.49	0	0.48	0.44	0.53	0.51	0.30	0.29
17209565	0	0	0.40	0.66	0.51	0	0.47	0.56	0.53	0.48	0.25	0.37
17209665	0	0	0.32	0.72	0.63	0	0.42	0.47	0.74	0.47	0.22	0.30
17209765	0	0	0.28	0.43	0.32	0	0.44	0.45	0.49	0.40	0.31	0.31
17209865	0	0	0.50	0.32	0.73	0	0.38	0.39	0.52	0.48	0.26	0.36
17209965	0	0	0.52	0.70	0.51	0	0.40	0.41	0.51	0.50	0.25	0.31
17210065	0	0	0.31	0.33	0.57	0	0.37	0.31	0.52	0.47	0.20	0.25
17210165	0	0	0.34	0.40	0.65	0.97	0.53	0.43	0.55	0.51	0.11	0.29
17210265	0	0.26	0.28	0.37	0.64	0.49	0.46	0.36	0.72	0.49	0.08	0.32
17210365	0	0.44	0.30	0.76	0.53	0.33	0.47	0.42	0.63	0.45	0.09	0.29
17210465	0	0.22	0.43	0.30	0.53	0.29	0.42	0.40	0.52	0.42	0.10	0.28
17210780	0	0	0.45	0.31	0.46	0	0.45	0.44	0.60	0.53	0.10	0.24
17210880	0	0	0.56	0.29	0.39	0	0.43	0.51	0.49	0.46	0.11	0.29
17210980	0	0	0.22	0.69	0.43	0	0.45	0.33	0.87	0.34	0.10	0.30
17211080	0	0	0.41	0.38	0.60	0	0.47	0.42	0.58	0.48	0.08	0.29
17211181	0	0	0.29	0.32	0.52	0	0.44	0.38	0.50	0.53	0.11	0.32
17211281	0	0	0.15	0.69	0.52	0	0.46	0.30	0.51	0.41	0.09	0.25
17211381	0	0	0.29	0.32	0.60	0	0.38	0.43	0.51	0.50	0.10	0.28
17211481	0	0	0.14	0.31	0.50	0	0.42	0.37	0.52	0.52	0.09	0.31
17211581	0	0	0	0.57	0.60	0	0.57	0.30	0.52	0.52	0.10	0.30
17211681	0	0	0	0.33	0.62	0	0.63	0.31	0.51	0.42	0.09	0.30
17211781	0	0	0	0.36	0.66	0	0.49	0.35	0.53	0.51	0.09	0.31
17211881	0	0	0	0.55	0.58	0	0.42	0.17	0.52	0.42	0.15	0.28
17211981	0	0	0	0.79	0.62	0	0.40	0.27	0.50	0.45	0.09	0.35
17212082	0	0	0	0.38	0.61	0	0.42	0.45	0.49	0.50	0.08	0.29
17212182	0	0	0	0.42	0.57	0	0.41	0.42	0.53	0.49	0.09	0.26
17212282	0	0	0	0.52	0.56	0	0.39	0.41	0.59	0.46	0.10	0.27
17212382	0	0	0	0.33	0.59	0	0.41	0.36	0.78	0.52	0.10	0.30
17212482	0	0	0	0.36	0.50	0	0.47	0.27	0.48	0.40	0.06	0.29
17212582	0	0.75	0	0.65	0.60	0.49	0.48	0.41	0.54	0.49	0.10	0.34
17212682	0	0.55	0	0.40	0.57	0.47	0.44	0.31	0.51	0.50	0.12	0.30
17212782	0	0.52	0	0.42	0.58	0.55	0.52	0.30	0.54	0.52	0.08	0.29
17212882	0	0	0	0.64	0.62	0.39	0.39	0.44	0.51	0.48	0.11	0.30
17212982	0	0.63	0	0.64	0.55	0.42	0.46	0.32	0.52	0.52	0.08	0.29
17213082	0	0.43	0	0.29	0.41	0.49	0.40	0.25	0.52	0.49	0.09	0.32
17213182	0	0.34	0	0.31	0.40	0.41	0.36	0.41	0.52	0.46	0.14	0.32
17213382	0	0.63	0	0.32	0.52	0.39	0.43	0.19	0.52	0.50	0.08	0.29
17213481	0	0.56	0	0.28	0.50	0.47	0.48	0.42	0.53	0.49	0.11	0.28
17213581	0	0.65	0	0.52	0.53	0.52	0.53	0.41	0.51	0.52	0.16	0.28
17213681	0	0.43	0	0.29	0.51	0.44	0.55	0.36	0.58	0.35	0.10	0.30
17213781	0	0.46	0	0.34	0.58	0.44	0.43	0.38	0.57	0.51	0.11	0.41
17213881	0	0.37	0	0.35	0.48	0.38	0.50	0.39	0.52	0.53	0.11	0.35
17213981	0	0.44	0	0.49	0.51	0.62	0.43	0.27	0.99	0.40	0.09	0.28
17214081	0	0.36	0	0.35	0.50	0.39	0.49	0.57	0.50	0.50	0.11	0.31
17214181	0	0.36	0	0.30	0.44	0.39	0.47	0.38	0.50	0.49	0.10	0.32
17214281	0	0.39	0	0.47	0.43	0.49	0.48	0.23	0.60	0.40	0.13	0.27
17214381	0	0.46	0	0.71	0.44	0.39	0.47	0.43	0.51	0.42	0.10	0.30
17214481	0	0.36	0	0.49	0.41	0	0.44	0.48	0.41	0.49	0.09	0.29
17214581	0	0	0	0.24	0.51	0	0.45	0.43	0.32	0.50	0.08	0.26
17214681	0	0	0	0.67	0.44	0	0.60	0.42	0.31	0.50	0.08	0.29
17214781	0	0	0	0.56	0.43	0	0.65	0.64	0.32	0.51	0.07	0.29
17214881	0	0	0	0.36	0.40	0	0	0.49	0.21	0.47	0.08	0.28
17214981	0	0	0	0.47	0.55	0	0	0.38	0.25	0.47	0.08	0.29
17215081	0	0	0	0.48	0.44	0	0	0.42	0.09	0.46	0.07	0.36
17215181	0	0	0	0.37	0.38	0	0	0.59	0.09	0.36	0.06	0.35
17215281	0	0	0	0.60	0.47	0	0	0.42	0.09	0.49	0.07	0.37
17215381	0	0	0	0.57	0.45	0	0	0.50	0.08	0.51	0.07	0.27
17215481	0	0	0	0.25	0.36	0	0	0.39	0.08	0.46	0.06	0.35
17215581	0	0	0	0.24	0.39	0	0	0.44	0.09	0.52	0.23	0.39
17215681	0	0	0	0.25	0.55	0	0	0.54	0.08	0.48	0.07	0.39
17215781	0	0	0	0.26	0.45	0	0	0	0.09	0.53	0.08	0.29
17215881	0	0	0	1.08	0.38	0	0	0.48	0.10	0.50	0.07	0.24
17215981	0	0	0	0.50	0.41	0	0	0.39	0.08	0.49	0.06	0.31
17216081	0	0	0	0.26	0.43	0	0	0.38	0.08	0.54	0.07	0.32
17216181	0	0	0	0.25	0.41	0	0	0.48	0.10	0.48	0.07	0.27
17216281	0	0	0	0.32	0.38	0	0	0.64	0.11	0.49	0.07	0.28
17216381	0	0	0	0.52	0.34	0	0	0.40	0.10	0.33	0.07	0.38
17216481	0	0	0	0.26	0.36	0	0	0.59	0	0.52	0.08	0.34
17216581	0	0	0	0.24	0.43	0	0	0.56	0	0.51	0.07	0.30
17216681	0	0	0	0.81	0.39	0	0	0.43	0	0.53	0.08	0.34
17216782	0	0	0	0.52	0.46	0	0	0.43	0	0.47	0.08	0.28
17216882	0	0	0	0.26	0.36	0	0	0.38	0	0.51	0.17	0.27
17216982	0	0	0	0.52	0.38	0	0	0.43	0	0.50	0.11	0.29
17217082	0	0	0	1.10	0.36	0	0	0.57	0	0.48	0.08	0.29
17217182	0	0	0	0.30	0.41	0	0	0.57	0	0.53	0.07	0.31
17217282	0	0	0	0.24	0.47	0	0	0.45	0	0.45	0.08	0.27
17217382	0	0	0	0.69	0.43	0	0	0.59	0	0.47	0.07	0.30
17217482	0	0	0	0.57	0.38	0	0	0.43	0	0.49	0.07	0.27
17217582	0	0	0	0.27	0.41	0	0	0.69	0	0.36	0.08	0.32
17217782	0	0	0	1.06	0.53	0	0	0.44	0	0.47	0.08	0.32
17217882	0	0	0	0.57	0.41	0	0	0.44	0	0.39	0.06	0.24
17217982	0	0	0	0.24	0.39	0	0	0.47	0	0.45	0.07	0.27
17218082	0	0	0	0.47	0.50	0	0	0.54	0.52	0.50	0.08	0.43
17218182	0	0	0	0.61	0.44	0	0	0.34	0.26	0.35	0.15	0.26
17218282	0	0	0	0.29	0.53	0	0	0.66	0.16	0.44	0.19	0.37
17218382	0	0	0	0.30	0.48	0	1.27	0.61	0.45	0.50	0.09	0.30
17218482	0	0	0	0.82	0.51	0	1.81	0.62	0.33	0.31	0.08	0.24
17218582	0	0	0	0.49	0.42	0	1.90	0.62	0.32	0.46	0.08	0.26
17218682	0	0	0	0.28	0.48	0	1.18	0.62	0.48	0.53	0.08	0.28
17218782	0	0	0	0.30	0.37	0	0.75	0.46	0.52	0.40	0.08	0.30
17218896	0	0	0	0.70	0.47	0	0.61	0.63	0.56	0.43	0.12	0.27
17218996	0	0	0	0.38	0.57	0	0.46	0.38	0.53	0.44	0.10	0.30
17219095	0	0	0	0.36	0.52	0	0.28	0.50	0.53	0.38	0.09	0.32
17219195	0	0	0	0.59	0.59	0	0.24	0.41	0.55	0.51	0.13	0.32
17219295	0	0	0	0.47	0.56	0	0.25	0.36	0.56	0.51	0.12	0.33
17219395	0	0	0	0.42	0.47	0	0.25	0.50	0.56	0.40	0.09	0.27
17219495	0	0	0	0.63	0.57	0	0.32	0.39	1.04	0.48	0.15	0.31
17219595	0	0	0	0.49	0.52	0	0.32	0.41	0.52	0.49	0.17	0.30
17219695	0	0	0	0.28	0.39	0	0.34	0.40	0.49	0.41	0.10	0.27
17219795	0	0	0	0.27	0.46	0	0.40	0.41	0.40	0.49	0.11	0.28
17219895	0	0	0	0.68	0.46	0	0.35	0.32	0.46	0.50	0.07	0.29
17219995	0	0	0	0.48	0.38	0	0.46	0.45	0.49	0.47	0.08	0.27
17220095	0	0	0	0.24	0.49	0	0.44	0.57	0.42	0.50	0.10	0.25
17220195	0	0	0	0.72	0.52	0	0.37	0.39	0.47	0.47	0.10	0.29
17220295	0	0	0	0.34	0.53	0	0.49	0.50	0.51	0.37	0.09	0.26
17220395	0	0	0	0.26	0.53	0	0.31	0.43	0.38	0.51	0.11	0.27
17220526	0	0	0	0.74	0.60	0	0.37	0.46	0.49	0.50	0.11	0.32
17220632	0	0	0	0.30	0.77	0	0.40	0.42	0.61	0.43	0.10	0.33
17220732	0	0	0	0.26	0.85	0	0.41	0.59	0.52	0.50	0.12	0.32
17220832	2.10	0	0	0.71	1.04	0	0.47	0.46	1.08	0.48	0.10	0.33
17221032	0	0	0	0.24	0.65	0	0.38	0.50	0.33	0.49	0.09	0.30
17221132	0.54	0	0	0.63	0.57	0	0.40	0.29	0.49	0.50	0.15	0.32
17221235	0.66	0	0	0.43	0.59	0	0.45	0.59	0.56	0.50	0.10	0.38
17221335	0.17	0	0	0.26	0.66	0	1.00	0.53	0.40	0.51	0.12	0.34
17221436	0.09	0	0	0.54	0.68	0	0.52	0.41	0.51	0.52	0.07	0.29
17221536	0.42	0	0	0.50	0.60	0	0.47	0.65	0.50	0.49	0.10	0.32
17221636	0.51	0	0	0.58	0.69	0	0.53	0.51	0.43	0.41	0.12	0.30
17221736	1.19	0	0	0.45	0.65	0	0.51	0.35	0.53	0.49	0.09	0.32
17221836	1.18	0	0	0.44	0.70	0	0.53	0.38	0.54	0.43	0.12	0.31
17221936	1.54	0	0	0.30	0.64	0	0.54	0.50	0.49	0.51	0.11	0.31
17222036	0.84	0	0	0.42	0.60	0	0.62	0.39	0.55	0.51	0.10	0.32
17222136	0.78	0	0	0.35	0.62	0	0.42	0.45	0.67	0.48	0.09	0.29
17222236	0.66	0	0	0.59	0.60	0	0.44	0.53	0.42	0.49	0.09	0.31
17222345	1.37	0	0	0.35	0.67	0	0.47	0.42	0.50	0.49	0.08	0.33
17222467	1.00	0	0	0.71	0.56	0	0.47	0.39	0.51	0.45	0.21	0.30
17222567	1.02	0	0	0.32	0.61	0	0.43	0.41	0.50	0.51	0.08	0.31
17222667	0.63	0	0	0.35	0.59	0	0.39	0.48	0.52	0.50	0.08	0.34
17222867	0	0	0	0.33	0.64	0	0.38	0.31	0.46	0.50	0.08	0.33
17222967	0	0	0	0.32	0.59	0	0.51	0.60	0.51	0.42	0.08	0.32
17223067	0.48	0	0	0.50	0.66	0	0.56	0.40	0.49	0.45	0.11	0.31
17223167	0.66	0	0	0.42	0.57	0	0.41	0.36	0.47	0.50	0.10	0.31
17223267	1.14	0	0	0.34	0.53	0	0.44	0.41	0.54	0.38	0.08	0.31
17223367	1.25	0	0	0.48	0.58	0	0.53	0.51	0.51	0.48	0.12	0.32
17223467	0.48	0	0	0.44	0.70	0	0.53	0.38	0.81	0.48	0.10	0.35
17223567	0.85	0	0	0.29	0.65	0	0.47	0.46	0.63	0.45	0.08	0.35
17223667	1.09	0	0	0.49	0.64	0	0.43	0.46	0.47	0.38	0.11	0.35
17223767	0.99	0	0	0.59	0.59	0	0.55	0.42	0.37	0.49	0.14	0.33
17223867	0.93	0	0	0.33	0.72	0	0.53	0.49	0.51	0.50	0.10	0.39
17223967	0.77	0	0	0.53	0.74	0	0.45	0.43	0.48	0.50	0.10	0.39
17224067	1.10	0	0	0.47	0.64	0	0.53	0.44	0.41	0.50	0.10	0.33
17224167	1.21	0	0	0.30	0.67	0	0.55	0.43	0.54	0.50	0.10	0.31
17224267	0.63	0	0	0.40	0.78	0	0.49	0.51	0.51	0.51	0.11	0.30
17224388	0.76	0	0	0.54	0.73	0	0.56	0.54	0.50	0.44	0.12	0.30
17224488	1.40	0	0	0.27	0.66	0	0.45	0.45	0.54	0.31	0.08	0.35
17224587	0.90	0	0	0.25	0.77	0	0.46	0.45	0.62	0.52	0.16	0.37
17224687	1.82	0	0	0.67	0.85	0	0.49	0.48	0.57	0.52	0.12	0.41
17224787	1.06	0	0	0.29	0.72	0	0.55	0.55	0.66	0.48	0.11	0.39
17224887	0.70	0	0	0.24	0.93	0	0.47	0.52	0.56	0.46	0.11	0.33
17224987	0.83	0	0	0.60	0.91	0	0.49	0.41	0.47	0.46	0.09	0.34
17225087	0.74	0	0	0.51	0.71	0	0.40	0.42	0.59	0.47	0.17	0.37
17225187	0.81	0	0	0.40	0.71	0	0.44	0.48	0.40	0.46	0.11	0.42
17225287	0.77	0	0	0.72	0.54	0	0.40	0.45	0.51	0.51	0.09	0.32
17225387	0.92	0	0	0.47	0.71	0	0.42	0.50	0.66	0.54	0.12	0.33
17225487	0.57	0	0	0.27	0.69	0	0.55	0.49	0.52	0.48	0.13	0.36
17225587	0.61	0	0	0.27	0.59	0	0.42	0.39	0.52	0.55	0.09	0.30
17225687	1.16	0	0	0.57	0.66	0	0.46	0.57	0.61	0.40	0.12	0.32
17225787	0.65	0	0	0.28	0.71	0	0.34	0.51	0.50	0.44	0.12	0.31
17225887	0.68	0	0	0.25	0.72	0	0.48	0.43	0.50	0.48	0.11	0.29
17225987	0.60	0	0	0.57	0.57	0	0.47	0.46	0.52	0.31	0.11	0.30
17226087	0.55	0	0	0.37	0.56	0	0.48	0.45	0.44	0.38	0.17	0.34
17226187	0.82	0	0	0.27	0.64	0	0.41	0.46	0.87	0.32	0.10	0.36
17226287	0.84	0	0	0.71	0.52	0	0.32	0.50	0.50	0.31	0.10	0.33
17226387	0.33	0	0	0.41	0.51	0	0.40	0.47	0.36	0.33	0.11	0.34
17226487	0.70	0	0	0.28	0.59	0	0.36	0.45	0.48	0.33	0.09	0.33
17226587	0.74	0	0	0.39	0.61	0	0.51	0.60	0.59	0.28	0.09	0.30
17226687	0.44	0	0	0.83	0.53	0	0.38	0.42	0.54	0.32	0.14	0.34
17226787	0.74	0	0	0.30	0.50	0	0.51	0.40	0.49	0.33	0.08	0.32
17226887	0.74	0	0	0.27	0.91	0	0.55	0.54	0.49	0.45	0.10	0.31
17226987	0.61	0	0	0.58	0.69	0	0.47	0.50	0.49	0.48	0.14	0.29
17227087	0.77	0	0	0.35	0.59	0	0.56	0.53	0.42	0.41	0.10	0.30
17227187	0.96	0	0	0.34	0.62	0	0.81	0.58	0.56	0.37	0.12	0.31
17227287	0.51	0	0	0.60	0.72	0	0.47	0.53	0.46	0.50	0.11	0.29
17227387	0.97	0	0	0.46	0.69	0	0.52	0.46	0.44	0.50	0.12	0.34
17227487	0.59	0	0	0.31	0.73	0	0.56	0.50	0.72	0.45	0.12	0.33
17227587	0.53	0	0	0.56	0.71	0	0.53	0.53	0.56	0.47	0.12	0.33
17227687	1.11	0	0	0.38	0.65	0	0.43	0.38	0.46	0.38	0.10	0.29
17227787	0.73	0	0	0.29	0.63	0	0.50	0.53	0.56	0.47	0.10	0.33
17227887	0.35	0	0	0.37	0.52	0	0.42	0.50	0.41	0.50	0.11	0.33
17227987	1.25	0	0	0.82	0.41	0	0.44	0.49	0.60	0.44	0.09	0.30
17228087	0.81	0	0	0.41	0.63	0	0.46	0.46	0.63	0.39	0.12	0.31
17228187	0.39	0	0	0.36	0.65	0	0.44	0.51	0.49	0.38	0.13	0.30
17228287	0.74	0	0	0.67	0.73	0	0.41	0.48	0.43	0.42	0.09	0.31
17228387	0.74	0	0	0.42	0.83	0	0.48	0.48	0.55	0.42	0.13	0.30
17228487	0.37	0	0	0.31	0.61	0	0.49	0.53	0.54	0.45	0.10	0.31
17228587	0.66	0	0	0.67	0.66	0	0.40	0.46	0.45	0.47	0.11	0.37
17228687	1.14	0	0	0.34	0.61	0	0.52	0.47	0.57	0.47	0.13	0.38
17228787	0.48	0	0	0.26	0.63	0	0.43	0.56	0.47	0.48	0.10	0.32
17228887	0.85	0	0	0.53	0.71	0	0.41	0.41	0.50	0.41	0.08	0.36
17228987	0.64	0	0.45	0.34	0.52	0	0.52	0.51	0.71	0.38	0.12	0.32
17229087	1.15	0	0.69	0.31	0.74	0	0.37	0.52	0.43	0.49	0.11	0.30
17229187	1.05	0	0.39	0.67	0.64	0	0.42	0.41	0.43	0.53	0.07	0.41
17229287	0.74	0	0.40	0.57	0.53	0	0.43	0.50	0.53	0.44	0.10	0.32
17229387	0.46	0	0.31	0.29	0.56	0	0.42	0.56	0.45	0.50	0.11	0.32
17229487	0.72	0	0.11	0.47	0.61	0	0.42	0.41	0.48	0.50	0.09	0.38
17229588	0.81	0	0.11	0.50	0.66	0	0.44	0.54	0.55	0.42	0.09	0.41
17229688	0.80	0	0.11	0.32	0.61	0	0.42	0.49	0.52	0.50	0.12	0.37
17229788	0	0	0.09	0.48	0.73	0	0.42	0.43	0.41	0.47	0.11	0.32
17229888	0.53	0	0.12	0.53	0.67	0	0.66	0.49	0.49	0.36	0.09	0.30
17229987	0.51	0	0.13	0.34	0.73	0	0.65	0.51	0.56	0.52	0.11	0.34
17230087	1.05	0	0.18	0.37	0.76	0	0.60	0.41	0.59	0.51	0.21	0.37
17230287	0.75	0	0.16	0.88	0.82	0	0.57	0.46	0.70	0.50	0.12	0.46
17230387	0.63	0	0.09	0.36	0.62	0	0.47	0.35	0.80	0.44	0.15	0.36
17230487	0.65	0	0.08	0.67	0.69	0	0.46	0.48	0.57	0.46	0.09	0.42
17230587	0.65	0	0	0.47	0.75	0	0.50	0.44	0.48	0.49	0.20	0.39
17230687	0.63	0	0	0.30	0.60	0	0.62	0.37	0.46	0.50	0.08	0.38
17230787	0.69	0	0	0.54	0.56	0	0.49	0.44	0.53	0.51	0.09	0.37
17230887	0.99	0	0	0.33	0.68	0	0.49	0.46	0.60	0.50	0.11	0.36
17230987	0.71	0	0	0.54	0.68	0	0.40	0.32	0.49	0.44	0.08	0.33
17231087	1.20	0	0	0.45	0.54	0	0.47	0.42	0.55	0.40	0.08	0.33
17231187	0.72	0	0	0.54	0.80	0	0.35	0.51	0.50	0.53	0.12	0.31
17231287	0.70	0	0	0.48	0.68	0	0.42	0.41	0.50	0.48	0.09	0.32
17231387	0.67	0	0	0.32	0.53	0	0.38	0.43	0.52	0.32	0.07	0.28
17231487	0.61	0	0	0.64	0.69	0	0.40	0.44	0.56	0.52	0.10	0.34
17231587	0.91	0	0	0.62	0.72	0	0.47	0.48	0.52	0.48	0.07	0.37
17231687	1.11	0	0	0.25	0.55	0	0.32	0.47	0.62	0.44	0.08	0.36
17231787	0.64	0	0	0.61	0.82	0	0.37	0.47	0.49	0.51	0.10	0.35
17231887	0.61	0	0	0.36	0.65	0	0.35	0.43	0.57	0.52	0.10	0.32
17231987	0.80	0	0	0.59	0.73	0	0.61	0.45	0.56	0.51	0.11	0.32
17232087	0.87	0	0	0.54	0.72	0	0.95	0.50	0.48	0.52	0.12	0.35
17232187	0.82	0	0	0.33	0.70	0	1.05	0.43	0.51	0.49	0.09	0.30
17232287	0.73	0	0	0.28	0.60	0	1.00	0.44	0.42	0.50	0.12	0.34
17232387	0.89	0	0	0.55	0.67	0	0.96	0.56	0.38	0.48	0.13	0.32
17232487	0.70	0	0	0.32	0.66	0	1.12	0.49	0.44	0.46	0.12	0.36
17232587	1.11	0	0	0.38	0.56	0	1.12	0.50	0.42	0.45	0.12	0.31
17232687	0.91	0	0	0.57	0.60	0	0.42	0.57	0.37	0.40	0.12	0.39
