tick	antikeeper	claimer	harvester	longbuilder	longharvester	longminer	miner	shortminer	upgrader
17379998	0.48	0.28	0.73	0	0.56	0.45	0.49	0.09	0.33
17380098	0.77	0.26	0.56	0	0.51	0.46	0.47	0.10	0.32
17380198	0.59	0.42	0.69	0	0.50	0.65	0.49	0.13	0.33
17380298	0.47	0.51	0.71	0	0.50	0.44	0.44	0.10	0.34
17380398	0.41	0.31	0.55	0	0.55	0.52	0.43	0.13	0.32
17380498	0.51	0.40	0.79	0	0.61	0.47	0.41	0.16	0.36
17380598	0.56	0.52	0.69	0	0.53	0.53	0.46	0.10	0.33
17380698	0.40	0.64	0.66	0	0.53	0.53	0.51	0.13	0.36
17380798	0.43	0.36	0.78	0	0.60	0.44	0.51	0.14	0.32
17380898	0.45	0.47	0.81	0	0.59	0.48	0.51	0.11	0.31
17380998	0.43	0.44	0.74	0	0.56	0.55	0.56	0.13	0.31
17381099	0.48	0.30	0.86	0	0.57	0.43	0.52	0.13	0.31
17381199	0.41	0.42	0.65	0	0.56	0.45	0.46	0.11	0.31
17381299	0.38	0.47	0.73	0	0.55	0.53	0.48	0.12	0.31
17381399	0.61	0.28	0.77	0	0.57	0.52	0.49	0.13	0.32
17381499	0.44	0.40	0.60	0	0.57	0.56	0.45	0.12	0.30
17381599	0.39	0.49	0.80	0	0.54	0.51	0.42	0.12	0.33
17381699	0.49	0.33	0.78	0	0.54	0.43	0.40	0.20	0.35
17381799	0.46	0.46	0.77	0	0.59	0.52	0.39	0.24	0.36
17381899	0.37	0.50	0.72	0	0.52	0.56	0.53	0.09	0.33
17381999	0.45	0.58	0.70	0	0.52	0.46	0.50	0.11	0.38
17382099	0.50	0.45	0.70	0	0.55	0.44	0.50	0.13	0.37
17382199	0.42	0.45	0.65	0	0.53	0.50	0.50	0.11	0.34
17382299	0.51	0.58	0.70	0	0.47	0.43	0.50	0.12	0.33
17382400	0.44	0.46	0.78	0	0.55	0.43	0.43	0.14	0.32
17382500	0.50	0.43	0.81	0	0.52	0.49	0.38	0.22	0.32
17382600	0.67	0.38	0.73	0	0.41	0.38	0.49	0.22	0.31
17382700	0.61	0.42	0.88	0	0.54	0.58	0.51	0.14	0.30
17382800	0.47	0.30	0.61	0	0.56	0.54	0.49	0.14	0.30
17382900	0.40	0.25	0.68	0	0.45	0.51	0.38	0.14	0.35
17383001	0.54	0.66	0.80	0	0.58	0.51	0.34	0.12	0.30
17383101	0.45	0.30	0.69	0	0.46	0.51	0.47	0.15	0.34
17383201	0.40	0.26	0.72	0	0.53	0.55	0.49	0.13	0.31
17383301	0.48	0.49	0.63	0	0.50	0.42	0.37	0.12	0.34
17383401	0.41	0.46	0.67	0	0.49	0.50	0.49	0.11	0.34
17383501	0.53	0.41	0.70	0	0.52	0.48	0.49	0.10	0.33
17383601	0.46	0.53	0.72	0	0.45	0.43	0.50	0.23	0.32
17383701	0.52	0.42	0.77	0	0.51	0.45	0.51	0.14	0.35
17383801	0.46	0.32	0.73	0	0.47	0.50	0.53	0.11	0.31
17383901	0.43	0.51	0.70	0	0.49	0.44	0.51	0.15	0.30
17384001	0.40	0.40	0.72	0	0.50	0.44	0.52	0.13	0.30
17384101	0.41	0.30	0.65	0	0.45	0.50	0.48	0.11	0.29
17384201	0.48	0.53	0.71	0	0.53	0.44	0.47	0.13	0.28
17384301	0.40	0.28	0.73	0	0.50	0.46	0.53	0.13	0.34
17384400	0.46	0.47	0.64	0	0.52	0.60	0.40	0.14	0.32
17384500	0.56	0.27	0.69	0	0.56	0.45	0.37	0.19	0.35
17384600	0.50	0.87	0.82	0	0.58	0.58	0.52	0.12	0.33
17384700	0.50	0.57	0.76	0	0.53	0.55	0.51	0.14	0.33
17384800	0.49	0.26	0.66	0	0.48	0.48	0.46	0.13	0.30
17384900	0.47	0.72	0.70	0	0.52	0.57	0.50	0.13	0.34
17385000	0.47	0.58	0.76	0	0.48	0.55	0.51	0.10	0.29
17385100	0.43	0.29	0.73	0	0.53	0.43	0.50	0.14	0.30
17385200	0.43	0.50	0.72	0	0.54	0.46	0.50	0.11	0.29
17385300	0.46	0.43	0.68	0	0.54	0.58	0.51	0.12	0.32
17385400	0.42	0.30	0.62	0	0.54	0.47	0.51	0.14	0.29
17385500	0.41	0.50	0.77	0	0.50	0.45	0.46	0.13	0.35
17385600	0.42	0.43	0.70	0	0.50	0.56	0.41	0.10	0.29
17385700	0.40	0.42	0.58	0	0.47	0.47	0.39	0.18	0.32
17385800	0.42	0.54	0.81	0	0.55	0.50	0.45	0.14	0.36
17385900	0.43	0.36	0.77	0	0.47	0.56	0.44	0.08	0.33
17386000	0.40	0.34	0.57	0	0.61	0.46	0.41	0.17	0.30
17386100	0.43	0.52	0.78	0	0.52	0.41	0.50	0.12	0.31
17386200	0.44	0.77	0.75	0	0.51	0.52	0.46	0.10	0.31
